run_id,seed,gait_id,gait_name,vx_cmd,vy_cmd,wz_cmd,survived,survival_steps,survival_time_s,termination_reason,mean_vx_actual,mean_vy_actual,mean_wz_actual,mean_vx_error,mean_vy_error,mean_wz_error,mean_height,std_height,mean_roll,mean_pitch,mean_contact_frac,mean_contact_acc,mean_torque_norm,xy_drift_m,wall_time_s
59,2,3,amble,0.0,0.20000000298023224,-0.25,True,1000,10.0,timeout,0.27426714501447147,0.0065955966216925946,-0.12325906436395599,0.27426714501447147,0.19340440635853964,0.13281234555027266,0.33211174774276503,0.004783471661704116,0.024918917043632333,0.10324294654620071,0.6263888888888889,0.9547222222222222,18.65824165874057,2.561224473624785,0.907
60,4,2,hop,1.2000000476837158,-0.20000000298023224,-0.5,True,1000,10.0,timeout,0.9016864557125989,0.05787839608532308,-0.4316302073851009,0.2983135919711169,0.2578783990655553,0.11645441698951318,0.2962003858083835,0.027845049885799906,0.05797461671496052,0.12044540786568705,0.5079411764705882,0.9038235294117647,27.194943325379317,3.475982318392955,0.889
61,4,2,hop,1.2000000476837158,0.4000000059604645,0.5,True,1000,10.0,timeout,0.9173076680127312,0.012178193817774574,0.3722255036968957,0.2826923796709846,0.3878218121426899,0.15574520189643784,0.30272506573378516,0.034641910084063046,0.1262034122671007,0.16460746268180104,0.5017647058823529,0.8988235294117647,25.18257156091578,4.604113335752769,0.883
62,1,3,amble,0.8999999761581421,0.0,0.5,True,1000,10.0,timeout,0.6787178976668252,-0.06731276547929156,0.4124693997659617,0.2212820784913169,0.08040997502052859,0.16371337043328418,0.3300401361338821,0.004654117745325161,0.013127421664934687,0.09791014105317832,0.6105555555555555,0.9516666666666667,20.77662323421902,2.8205692029276195,0.898
63,2,5,limp,0.30000001192092896,-0.20000000298023224,0.25,True,1000,10.0,timeout,0.44485637914803294,-0.051921230506041964,0.2098974777511224,0.15617062411374516,0.14814187094456024,0.11650163253961687,0.3424787730767487,0.015777633897650634,0.07370192582241734,0.0483207013458929,0.5130555555555556,0.9269444444444445,25.24593654314677,3.638098704547342,0.879
64,2,4,pronk,0.30000001192092896,0.20000000298023224,0.5,True,1000,10.0,timeout,0.45497089833952487,0.013332623263427195,0.39252420314587655,0.1915875795390457,0.18666737971680505,0.11642846680246294,0.30277002005180764,0.07201676553358013,0.06637517415486395,0.19916236718326538,0.535,0.91125,19.06700874954462,2.1769518567602533,0.872
65,1,1,trot,0.6000000238418579,-0.20000000298023224,0.0,True,1000,10.0,timeout,0.4919498363137245,-0.06010558414790365,-0.03822930042218003,0.10805018752813339,0.1398944188323286,0.11164901548065245,0.34008376429904763,0.00391062251840448,0.05277822793896786,0.06316004503780578,0.5005555555555555,0.9388888888888889,21.477319633695814,4.825002719338969,0.878
66,4,5,limp,1.2000000476837158,-0.4000000059604645,0.0,True,1000,10.0,timeout,0.8731805929872725,-0.11646587433500423,0.04133349767438227,0.32681945469644336,0.28353413162546026,0.08106944724408095,0.3355593430266731,0.01922376422033972,0.09159947536928686,0.07472483506422208,0.5072222222222222,0.9261111111111111,26.24009933842553,8.574551366239254,0.889
67,3,4,pronk,0.0,-0.4000000059604645,-0.5,True,1000,10.0,timeout,0.34086987470451274,0.018633078446652008,-0.2581197745722602,0.34164315105241255,0.4186330844071165,0.2418802254277398,0.29616504314984604,0.07029351979757707,0.031941653813071354,0.1835968043312446,0.5440625,0.9159375,19.637275348305703,2.570643400505242,0.88
68,2,4,pronk,1.2000000476837158,0.4000000059604645,0.25,True,1000,10.0,timeout,0.9735356470197439,0.005565412182349973,0.24719134120387026,0.25097907908260825,0.3944345937781145,0.07314781786757521,0.3189189068132176,0.056953470524187325,0.056607298764304106,0.22421800171459025,0.4965625,0.9553125,21.818740254342558,7.491277036132658,0.87
69,2,1,trot,1.2000000476837158,0.4000000059604645,0.25,True,1000,10.0,timeout,0.8347781972090403,0.00756256672278217,0.22356173417841393,0.3652218504746755,0.3924374392376823,0.1217340908261637,0.3377568394650637,0.0034584740416115753,0.06447706218871713,0.057279029968435785,0.475,0.925,23.395748977661132,6.587729038103192,0.895
